,Unnamed: 0,product_id,user_name,rate_stars,review_title,review_date,comment_content,sentiment,label1,label2
1707,1707,B09R6FX8LH,bee,5.0,Longest lasting chewy,2023-08-07,I have older dogs and though they like a chewy stick it needs to be soft enough to not break their teeth. I used one Nylabone that broke my one dogs teeth = a 1k vet bill. I now get chews labeled for puppies. This last about 45 minutes of focused chewing. I think the ingredients are good as neither dogs have any digestive reactions from them. They are expensive so it’s their Sunday treat.,positive,Negative,Health Issues
1717,1717,B09R6FX8LH,Susan Jasneski,3.0,My dog didn’t like these,2023-09-26,Too big for little puppies,negative,Negative,Product Quality Issue
1724,1724,B09R6FX8LH,kianayek,4.0,Puppy loves it,2022-09-22,My puppy loves this treat! It keeps her distracted for a little while. They are hard to cut in half so I wish they would make half sticks since the recommendation for dogs under a certain weight is only half a stick a day. Also wish there were more flavors cause my dog isn’t as interested as she was before as I have repurchased several times,negative,Negative,Value for Money
1729,1729,B09R6FX8LH,Angela D,2.0,Chewed up in seconds,2023-11-01,Would not buy againSays for puppies but then based on size you have to cut them down to 1/4 or 1/2.Not convenient or even worth giving as a chew,positive,Negative,Value for Money
1754,1754,B09R6FX8LH,Bb23,2.0,Not a fan,2023-04-27,"My 3 month old golden retriever would eat literally anything that is chicken flavored, but he could not care less about these sticks! Waste of money, they must not have any flavor.",negative,Negative,Palatability
1760,1760,B09R6FX8LH,gingy and gingireen,5.0,My dogs like these.,2022-06-28,They do not last very long though.,negative,Negative,Product Quality Issue
1764,1764,B09R6FX8LH,Crystal R.,1.0,Not Safe for Dogs!!!,2023-03-17,"I was super excited for this to arrive for my puppy. Needless to say, this was a huge mistake.  A portion of it got lodged in the roof of her mouth between her teeth. She devoured it in minutes flat. Thankfully I was able to get it out. Now she is suffering from Diarrhea from it. DO NOT BUY!",positive,Negative,Health Issues
1767,1767,B09R6FX8LH,angel musk,1.0,Gave my dogs diarrhea,2023-03-23,Dogs love it but gave them all diarrhea.,positive,Negative,Health Issues
1769,1769,B09R6FX8LH,Melissande,1.0,Dog does like,2022-12-24,My dogs don't care for these,neutral,Negative,Palatability
1783,1783,B0BFJR81WF,Lori Friedman,1.0,Not a good choice for your dog!,2023-10-23,"My 5yr old golden.doodle swallowed a piece of this bone and I notice she was having issues pooping! After spending over $700.00 on her vet bill, she was diagnosed w gastritis!Beware! Very unhappy with this product!",negative,Negative,Health Issues
1786,1786,B0BFJR81WF,Meghan Grieves,1.0,Bone caused intestinal blockage,2023-06-27,I had to take my dog in for emergency surgery because this bone created an intestinal blockage. I would avoid. My dog has not had trouble with another chew in the past.,negative,Negative,Safety Concerns
1799,1799,B0BFJR81WF,Meghan Grieves,1.0,Bone caused intestinal blockage,2023-06-27,I had to take my dog in for emergency surgery because this bone created an intestinal blockage. I would avoid. My dog has not had trouble with another chew in the past.,negative,Negative,Safety Concerns
1817,1817,B09FQBPCF1,Teena Peclet,4.0,Treats,2023-05-20,"My puppy liked the treat, but not the flavor. It smells good, but she didn’t care to eat it.",positive,Negative,Palatability
1818,1818,B09FQBPCF1,mike,3.0,Messy,2023-08-29,"Recommends only half per day but when they don’t finish it your left with a soggy disgusting half ring that leaves behind residue on carpets or fabrics , matted up the hair of my doodle around mouth and hands where she was “holding it” took an extra 10-15 minutes to groom it all out of her hair",negative,Negative,Product Quality Issue
1820,1820,B09FQBPCF1,Kimmer,5.0,Nice Size for Small Puppy,2023-01-01,A friend gave me several bags of the regular puppy size rings. I found myself holding them whilen she chewed and then throwing them away at the halfway point. We got both beef and pumpkin. She likes both.I found this smaller size being reviewed and ordered a bag. They’re a great size for her current size of 4-5 pounds.Do not leave your puppy unattended with these.  I would say that my puppy is an aggressive chewer. It takes her no time at all to chew through one of these.These could be a choke hazard if you’re not watching your puppy and discarding the ring once it’s down to a small nub.,positive,Negative,Safety Concerns
1830,1830,B09FQBPCF1,JFi,4.0,"Great flavor, great shape",2022-12-04,Was a really good product minus the fact it would only last about 10 min at the most,positive,Negative,Value for Money
1835,1835,B09FQBPCF1,k9s4me,5.0,Great for a teething biting naughty puppy,2023-02-07,My puppy didn’t like the flavor of the blueberry bbq,neutral,Negative,Palatability
1839,1839,B09FQBPCF1,Honey Jay,3.0,An okay product but didn’t agree with my pup,2021-05-10,"Maybe good for some puppies but I have a small mini yorkie, and he was throwing up for a full day constantly throwing up. This was the only new thing I gave him so I’m assuming this is what caused him to throw up maybe he was just to small and maybe he chewed it to quick I can say it was helping wi the the teething which is maybe why he was throwing up ! His vomit was brown so I gave him chicken and rice which seemed to resolve the issue he is doing well now!",positive,Negative,Health Issues
1841,1841,B09FQBPCF1,Amazon Customer,2.0,Ok but easily eaten and gone,2023-07-26,Good for 10 min of puppy distraction time time but easily destroyed and gone. Wouldnt buy again.,positive,Negative,Product Quality Issue
1845,1845,B09FQBPCF1,JACKIE SANTILLI,3.0,Not for aggressive chewers,2022-04-08,This teether would be excellent for smaller breeds and breeds that aren’t aggressive chewers.  My pup loved it but tore it up in less than ten minutes.  He did however enjoy it,positive,Negative,Product Quality Issue
1846,1846,B09FQBPCF1,Janet Shoup,1.0,Nope,2024-01-14,Dog threw up after teething.,neutral,Negative,Health Issues
1851,1851,B09FQBPCF1,M Allen,1.0,DO NOT BUY !,2022-12-24,We just left the emergency vet after our pup had one of these lodged in his throat and after seizing went into cardiac arrest and could not be saved.We had bought these for sour new puppy. And lost our 5 year old dog because of them. Oh. And it’s Christmas Eve. And to rub salt in the wound the remaining  3 bags I purchased are non returnable.Save yourself the heartbreak that we are experiencing. DO NOT BUY THESE!!!,positive,Negative,Health Issues
1852,1852,B09FQBPCF1,Diane P.,3.0,Didn't last long - don't waste your money,2021-08-04,Didn't last but a brief moment...,neutral,Negative,Product Quality Issue
1853,1853,B09FQBPCF1,Patricia,2.0,Pups didn’t like,2022-07-04,Puppies didn’t really like these.,positive,Negative,Palatability
1854,1854,B09FQBPCF1,Heather - A Mom,1.0,None of the dogs had any interest in it.,2021-12-31,"Not sure why, but none of the dogs, puppies or older dogs wanted these. After our puppy would not touch these, I tried our friends puppies during a play date.  4 puppies and 3 older dogs did not like them but loved all of the other bones. Total waste of money",positive,Negative,Palatability
1855,1855,B09FQBPCF1,Deborah Graham,1.0,Not for puppies terrible product!!!,2022-06-10,"Not for puppies, I got a new dachshund puppy couple days ago got one of these gave it to my puppy and he has had diarrhea throwing up the next day will never buy this product again!!!!",positive,Negative,Health Issues
1856,1856,B09FQBPCF1,Diane,1.0,Gave my dog the runs!,2022-05-10,Not for puppies and it smells awful.,negative,Negative,Health Issues
1864,1864,B09FQBPCF1,Adrienne  Philpot,4.0,Chewy toy,2021-12-11,My little dogs didn’t seem to like them. They seem to be great for teething. My big dog loved them but could eat one in less than 2 minutes  Lol,positive,Negative,Palatability
1865,1865,B09FQBPCF1,Amazon Customer,4.0,Chewy Chew,2022-01-12,My puppy loves this but I wish it did not leave an odor/smell on her fur or around her mouth.,neutral,Negative,Palatability
1874,1874,B00061MULK,carebear,1.0,Horrible,2023-12-07,"These chews are just awful. Within 5 hours of eating a small piece I cut off (it’s so hard I used kitchen scissors) we were at the emergency vet. My cat was throwing up, wouldn’t drink water and had diarrhea for days. I do not suggest here for any animals much less cats. Do not buy!",negative,Negative,Health Issues
1876,1876,B00061MULK,iPad customer,2.0,They are very hard,2024-01-03,Too hard for our year old cat to eat,negative,Negative,Product Quality Issue
1884,1884,B00061MULK,C M Dodd,3.0,I think they’re too hard for cats (?),2023-10-16,"My cat chews just about everything, but he won’t chew these.",neutral,Negative,Palatability
1886,1886,B00061MULK,Toni Harrison,3.0,Likability,2023-09-29,My cat did not like this,neutral,Negative,Palatability
1888,1888,B00061MULK,Nicholas Snethen,3.0,My cat had no clue what to do with these,2023-08-15,"No matter how hard I tried to make my cat eat these, they refused to. I'm sure that some might, but mine had no idea these were even supped to be chewed on or eaten.",positive,Negative,Palatability
1890,1890,B00061MULK,Jim,3.0,Cat won’t touch them,2023-08-27,Our cat is picky and won’t even touch them.  Will most likely just give them to the dog over time.,positive,Negative,Palatability
1895,1895,B00061MULK,Amron_J,3.0,N-Bone Cat Chew Treats,2023-08-10,So hard my cat couldn't chew them up--given away after trying one.,negative,Negative,Product Quality Issue
1903,1903,B00061MULK,Tracy's Late,1.0,Too hard for my cat to chew,2024-02-16,"These are just too hard for my cat to chew, and he is a chewy boy.  These feel like hard plastic rods, and apparently don't have enough flavor to make even just licking them desirable, and my boy is obsessed with food.  The only plus side is that my daughter's dog likes them, so they didn't go completely to waste.",negative,Negative,Product Quality Issue
1904,1904,B00061MULK,sue a.,2.0,Cat ignored them,2023-11-02,My cats would not eat them.  Gave them away to another cat owner who liked them.,positive,Negative,Palatability
1905,1905,B00061MULK,Michaella nolin,2.0,Cat don’t like,2023-11-30,My cat didn’t like em.,neutral,Negative,Palatability
1912,1912,B00061MULK,Jennifer,4.0,Actually seems pretty good,2018-12-11,"Cat has really enjoyed them so far and gets mad if I take them away, but so far cat has also really enjoyed two sets of headphones, a computer charger, and a 2 inch chunk of the box this was shipped in, so I think we can conclude cat is not a food critic. Pickier animals may not be as enthused. I got this hoping it would be a toy he could eat afterwards and that he would be less excited about chewing other things, and it achieved the first but not the second.It doesn't smell, which I count as a plus, but it clearly tastes like something since he eats it. It loses a star because it's not very hard for him to chew off huge chunks and swallow them, and I'm not sure it's good for him to eat a lot of it.",positive,Negative,Health Issues
1915,1915,B00061MULK,Timothy M Dennie,4.0,No smell,2023-03-27,My cat wouldn't even pay these any attention. I smelled no smell or anything. I even tried to give one to one of my dogs . She eats everything lol . It was a no go . Sorry I tried.,positive,Negative,Palatability
1924,1924,B00061MULK,Bootiesr,3.0,5 Cats Say “Meh”,2023-01-16,"Bought these hoping it’d distract our one cat from chewing plastic. They didn’t. In fact, of the 5 cats only a couple will lick them now and again.",neutral,Negative,Palatability
1926,1926,B00061MULK,"Brooklyn, Princess",3.0,Meh,2023-02-03,It was very tough for my senior cat. I was not able to give to him,negative,Negative,Product Quality Issue
1927,1927,B00061MULK,Bama,3.0,Product,2023-04-06,"My package was smaller than I thought,just got it today",neutral,Negative,Purchase and Return Policy
1930,1930,B00061MULK,funny bunny,3.0,cats hate these,2022-09-24,cats  none of my 5  like these  dont think i would eat them if i was a cat either  look and feel like rubber,neutral,Negative,Palatability
1932,1932,B00061MULK,Bren,3.0,Cat treats,2023-04-11,My cat was not a fan,neutral,Negative,Palatability
1934,1934,B00061MULK,Julie Jones,3.0,My cat didn't really mess with this at all.,2023-02-13,My cat didn't really mess with this at all.,negative,Negative,Palatability
1936,1936,B00061MULK,Gadgetgirl,4.0,Kids,2023-04-07,Throw them on the floor and well I don't see where they go or have gone,neutral,Negative,Other
1940,1940,B00061MULK,Nicole12,2.0,I personally didn't taste these,2023-01-03,I thought these would be good for my two cats that like to chew on cardboard.  They both looked at them and kicked them around.  That was it.  They didn't even try to chew them so there must not have been a smell to them.  I was very disappointed that these didn't work out.,negative,Negative,Palatability
1941,1941,B00061MULK,Kiiyo,2.0,Not made of meat..?,2013-05-16,"My cat is a 1 year old Turkish Van who is a big chewer. He has a problem with eating things he's not supposed to and I was looking for something to help relieve his chewing on bad things. I always hated how they didn't have any good chew things for cats because I can attest that chew cats exist! Well my cat didn't want anything to do with these chews... The packaging makes it look like it's a meaty chew, but its actually a firm clear-ish gelatinous stick, I'm assuming its a juice or or artificial flavoring? I won't be buying these again, but I'm glad this is on the market because I'm sure some cats would love it, just not mine. It's well packaged and is resealable. I'd like to suggest an alternative that I found that my cat actually likes. It's Dogswell Happy Hips Salmon or Chicken Jerky. They're made for dogs but they're just dehydrated meat with no hormones or additives so it's good for cats too, and your cat may like it if it doesn't like these because it's actually meat!",positive,Negative,Product Quality Issue
1949,1949,B00061MULK,Mary,3.0,Not good!!!,2022-04-21,My cat did not like the sticks at allShe refused them,neutral,Negative,Palatability
1955,1955,B00061MULK,Hanna,2.0,price is good but not for my cats,2023-09-07,they didn't like it,neutral,Negative,Palatability
1957,1957,B00061MULK,SECR,2.0,Will never buy again,2023-01-28,"I will never buy again, I stupidly didn’t read the reviews first which I should’ve. Cats played with them like they were toys. Dogs loved them though. Please don’t buy for your cat(s).",positive,Negative,Palatability
1959,1959,B00061MULK,KJ,4.0,Not sure,2023-03-13,My cats will not eat these they just play with them.,neutral,Negative,Palatability
1960,1960,B00061MULK,amber,4.0,Great for cats who with pica,2021-06-15,My cat chews through absolutely everything. from my tv (I know) and plastic to wires and wood. At first my cat was confused. It seemed like she liked the smell but she left it alone for a while. I figured it was too long/big so I cut it in half and now shes busy chewing on that instead of my apartment. The only downside is that she's starting to think its a toy -.-,positive,Negative,Product Quality Issue
1964,1964,B00061MULK,Nowhere,4.0,Cat Thought It Was A Chew Toy Until I Held it Up To Her Mouth,2020-12-27,These have no scent so my cat didn't get that it was something to eat and just batted it around the room. Other than that these sticks are great but I had to hold it up to my cats mouth. She finally figured it out but still won't eat it unless we hold it in our hands for her. Maybe my cat is just an idiot-who knows!,positive,Negative,Palatability
1967,1967,B00061MULK,Bennie,2.0,My cats didn't like it,2023-03-25,I have 3 cats and am always looking for new treats. I tried these hoping the form would be appealing. None of them will eat these treats even when I cut them up.  So sorry to say this.,positive,Negative,Palatability
1970,1970,B00061MULK,Dana Hoffman-Pennesi,3.0,They look like brown glue sticks that go into a glue gun,2016-02-05,I was really excited to try these with my cat because of the other reviews. When I received the treats I was immediately skeptical. They look like brown glue sticks that go into a glue gun. My cat was less than interested in the treat. I inspected a bit and they have no smell at all so I'm confused how these would attract an animal if they don't even seem appetizing. I'm still going to try to entice my cat to try them and I'm sure they can work well for others. I just don't have a lot of hope for my cat.,positive,Negative,Palatability
1971,1971,B00061MULK,Amazon Customer,3.0,Chewy and sticky,2021-08-07,One cat enjoyed it as she takes her time eating.  Other cat is a gobbler and he bit off a section of the stick which then got stuck in his mouth somehow. Pulled it out and it was sticky from his saliva.,positive,Negative,Safety Concerns
1972,1972,B00061MULK,Lindsey Haynes,5.0,Perfect for cats that chew on everything!,2022-08-12,"My cat chews on everything! My blinds are ruined, some of my precious books are ruined. She loves to chew on plastic and cardboard. I get so worried she is going to swallow something that will hurt her. These chew sticks are perfect for her and I don’t have to worry about it being bad for her when she swallows it. I always make sure I take them on trips too because I don’t want to have to pay for damages to anything!",positive,Negative,Health Issues
2019,2019,B00HHIM4LG,Wilma F.,1.0,I have one that will eat anything and doesn't like these.,2017-03-28,My dogs won't eat them.  I have one that will eat anything and doesn't like these.,neutral,Negative,Palatability
2020,2020,B00HHIM4LG,E. Constable,1.0,Dogs hated these,2019-01-21,My dogs flat out rejected these.,negative,Negative,Palatability
2029,2029,B00HHIM4LG,V. Tran,2.0,Great starter teething treat for puppies,2017-05-10,My dogs love this treat and it is good for small dogs that have not graduated to chewing really tough treats yet.  But more than 1 of these twistix and they get diarrhea... I keep them now just as a laxative for them if ever they need it.,positive,Negative,Health Issues
2068,2068,B003AYCVVY,Vilya57,3.0,these treats actually seemed to upset his tummy- He liked the flavor,2016-01-13,"My dog has a sensitive stomach, and I supplement his food with enzymes and probiotics- unfortunately, these treats actually seemed to upset his tummy- He liked the flavor, and they are probably fine for some dogs, but just didn't work with mine.  Will stick with the Anti-Oxidant flavor, which doesn't upset his stomach.",positive,Negative,Health Issues
2093,2093,B003AYCVVY,jm,3.0,"Good ingredients, but bad taste.",2016-02-19,The good news is I really like the ingredient list and one stick lasts forever. The bad news is that it lasts forever because my dog really doesn't seem to like the taste.,positive,Negative,Palatability
2095,2095,B003AYCVVY,Jackie S,1.0,Disappointed beagle,2019-08-28,"I specifically ordered the old formula made with rice and not potatoes. I got what I thought was the last 3, spending more than I wanted to because it's so darn hard to find a dental stick with ingredients he can eat. UPS arrived today and we both celebrated because HIS treats were finally here. I opened the box to find 3 bags with the new ingredients he can't eat. My poor disappointed buddy.",negative,Negative,Purchase and Return Policy
2097,2097,B003AYCVVY,Cindy,3.0,"Dogs not to interested in it, but they ate it.",2014-06-13,Not much to say about this product.  It could have just been my dogs preference.  I do not plan on ordering just because my dogs did not like it as much as other similar products.,negative,Negative,Value for Money
2115,2115,B003AYCVVY,Linda S. Aragon,4.0,Four Stars,2016-02-23,ok but dont last long,positive,Negative,Product Quality Issue
2130,2130,B003AYCVVY,Maria,3.0,Dogs like it,2014-06-13,"It is OK, but it is a little expensive. I found one brand better and cheaper at the local pet store.",positive,Negative,Value for Money
2138,2138,B09JKJ871B,Bacon Overlord,3.0,Watch your puppy very carefully with this,2023-06-23,My puppy ended up swallowing a piece of this and we had to take him to the ER.  He was vomiting and couldn't keep anything down (it was lodged somewhere).  Thankfully after a day or so he was able to apparently digest it and got back to normal.Big scare though.Watch your puppies VERY carefully with these.,positive,Negative,Safety Concerns
2142,2142,B09JKJ871B,Amazon Customer,4.0,Puppy chews,2022-05-10,Loved these for a little while. Hates the pumpkin flavor,positive,Negative,Palatability
2145,2145,B09JKJ871B,koko,1.0,Breaks into chokable pieces,2023-07-31,"I usually buy the normal puppy teething rings, but decided to try the “Plus” version since my pup is super mouthy. I always break them in half because of the serving sizes recommendations. These ones felt super critter and just broke into small pieces when doing This. I gave a larger piece to my pup under supervision and she immediate broke it into small pieces like I did. These small pieces are a choking hazard so didn’t give them to her. I’d say stick to the normal rings and stay away from Plus",negative,Negative,Safety Concerns
2147,2147,B09JKJ871B,Ashley,2.0,Does not last,2023-04-30,"My 15 week old puppy ate these in 5 minutes, these do not last as long as other teething bones.",negative,Negative,Product Quality Issue
2150,2150,B09JKJ871B,Amazon Customer,1.0,May upset stomach/cause diarrhea,2022-08-03,"I bought these to give to my 12 wk old Boxer puppies for teethe, plus my 2 older dogs thought they needed one too of course (both 5) and they loved them.  But the next morning every single one of my dogs had liquid diarrhea.  That's the only thing they had that was the same.  Otherwise they all seem fine, no temps playing like normal, good appetites, so pretty sure it's not some kind of sickness that coincidentally happened at the same time.",positive,Negative,Health Issues
2153,2153,B09JKJ871B,jknight,1.0,Upset stomach,2022-08-17,My puppy loves them but it has torn his stomach UP. BADLY. I won’t give him another one. He’s an 8 week old bulldog,negative,Negative,Health Issues
2156,2156,B09JKJ871B,Rachel Moore,5.0,Puppy loves it,2022-09-06,Nice chew treat.. doesn’t last long for a medium breed puppy,positive,Negative,Product Quality Issue
2163,2163,B01HUX3NNU,Jay W,3.0,"My Cat Spit it Out, My Daughters Cats Too",2023-11-24,"They look and smell good, look to have good ingredients. Unfortunately my cat wouldn't eat it. I tried twice and both times she spit it out. I gave them to my daughter who has two cats and she said they would not eat them as well. Very odd because my cat isn't very picky and her cats are not picky either.",positive,Negative,Palatability
2172,2172,B01HUX3NNU,Amazon Customer,4.0,Cat didn't like it so much,2023-08-27,"My cat will eat anything! He literally attacked this one like he does for treats, but I could tell he didn't like the taste.",neutral,Negative,Palatability
2181,2181,B01HUX3NNU,CherylGelin,4.0,Missing items,2023-08-12,I ordered three packages of these treats..only received one,neutral,Negative,Purchase and Return Policy
2207,2207,B01HUX3NNU,dALE,3.0,Something Bad happened,2022-09-27,"The item on the right of picture (order from Amazon) best before date 9/28/22 is totally different. My cat refused to eat it. Texture is crumbly and dry. I ordered 2 and cannot return or get refund. The item on the left purchased from local store (and cheaper) BBD 3/23/22 is excellent. This is the product my cat loves and i expected. Don't know what happened, but i will only purchase in person from now on, as I can see the product through the window.",positive,Negative,Palatability
2227,2227,B01HUX3NNU,Angel,3.0,Ragdoll hates it,2020-07-27,"This was actually very cheap, and I liked that the treats were thick but soft enough to chew. I had to break the treats into half because they were just unusually big for my 8-lb Ragdoll. Unfortunately, she hates chicken flavor, so I could only give her 2 treats a day for 2 days max. The second day she threw up because she just didn't like it and I couldn't manage to give it to her the third day. I wish there was a fish or beef flavor of this digestive health treats since those are her favorite flavors. The scent was really strong too, so if your cat hates chicken flavor as well, they're definitely not going to eat this. I suggest giving like 2 treats in their food bowl and burying the scent with wet cat food.",negative,Negative,Palatability
2231,2231,B01HUX3NNU,DarlingNikki,3.0,Im crushed because they are crushed,2022-09-08,We will see how these go but they basically arrived crushed.Im not sure why if you know you sell something that is softer and crumbly you would not use a canister.Kinda sad I have to bring this up.We can all learn something from pringles.,negative,Negative,Product Quality Issue
2232,2232,B01HUX3NNU,Jackielu,2.0,Diarrhea!,2023-08-22,"Followed directions on back of package, poor baby ended up with diarrhea and poopy everywhere. Now I give one, once and while.",negative,Negative,Health Issues
2235,2235,B01HUX3NNU,S.T.,3.0,My cats say NO,2022-05-24,"I don’t want to leave a bad review or rating but none of my cats liked it. Smelled it and they were like “Nope” and that’s it, I tried again and again but they won’t go near it. And one of them will eat anything. I’ll give it away, I guess.",positive,Negative,Palatability
2242,2242,B01HUX3NNU,Carlie,2.0,9 in 10 Cats didn't recommend,2023-06-08,"My Havanas are picky, but these treat were given no notice at all.  I gave the opened bag to a coworker for her cat and that guy didn't like them either.  One more pass on to another coworker - no dice.  Maybe the company should stick with dog food.",positive,Negative,Palatability
2244,2244,B01HUX3NNU,Cathy Lyon An Avid Reader and Reviewer,2.0,No Can Do Kitty's,2023-07-30,"Sadly, none of my three cats would eat them. And they do love chicken. But I couldn't get them to eat them. Sorry... :(",negative,Negative,Palatability
2246,2246,B01HUX3NNU,Bev,1.0,Horrible,2024-02-04,"My kitty who eats anything, would NOT touch these. Were soft to touch, but I guess bad chicken smell didn’t win her over.",negative,Negative,Palatability
2249,2249,B01HUX3NNU,amy sluka,3.0,Cats didn't like them,2022-11-13,"One cat fussy, one cat not. Neither liked them so I am only doing one star.  Usually one or the other will eat something I buy.",positive,Negative,Palatability
2251,2251,B01HUX3NNU,Heather Youngblood,4.0,Make sure you get what you ordered,2022-02-26,"Mixed reviews on taste. One cat loves them, one won't touch them.I received probiotic treats instead of hairball treats.",neutral,Negative,Palatability
2253,2253,B01HUX3NNU,Devin Ann Erikson,4.0,It's just a matter of your cat's tastes!,2018-06-15,"It smells like a good product and I had high hopes. Unfortunately 2 spoiled little cats decided they would not eat it. They even went to the extreme of taking it out of their bowl and putting it on the floor.  I know they at least put it in their mouth because the little bits were wet.  Fortunately, I had a friend who had two cats who absolutely love them. They even fought  over the last piece.",positive,Negative,Palatability
2257,2257,B01HUX3NNU,Tracy Kirk,3.0,Flavor aroma or lack of.,2021-08-08,I have a six week old kitten he loves food but for the lack of aroma I literally have to crush the treats before he smells them and then he gets busy chomping them down but just putting them in his dish he walks right by em like there not even there.,positive,Negative,Palatability
2292,2292,B09R6CH93J,Ella B,3.0,Puppy doesn't care about them,2024-02-16,"My puppy has shown basically no interest in these. It seems like they're too small for him, but he still didn't care about them even when he was only 5 lbs. My bigger dog will snatch them up and eat them when my puppy leaves them behind though.",negative,Negative,Palatability
2309,2309,B09R6CH93J,Amazonian,3.0,Too soft,2024-02-06,"My little Maltese eat these in a mater of seconds, was hoping they would be a little harder to slow down the consumption and allow them to chew.",negative,Negative,Product Quality Issue
2311,2311,B09R6CH93J,Bob Jopp,3.0,Watch your pets when they have them!!!,2024-01-26,I dislike my 17 yr old poodle got a piece stuck on her tooth making for a very scary time...my poodles love them but you must keep close eye as they eat them...take away when its a small piece to prevent choking!!!,negative,Negative,Safety Concerns
2315,2315,B09R6CH93J,Victoria Buono,4.0,Wish I went with the rings instead,2023-07-31,The sticks get lost easier than the rings would. Puppy is teething so I can give him this to stop biting what is wrong to bite. He enjoys the taste. Seems like it takes forever to finish one. They get gross or lost before I’ve seen him finish a single one. He loses interest in it quickly. It’s hard for him to hold. Makes me kinda nervous that he could choke on the shape.,negative,Negative,Health Issues
2317,2317,B09R6CH93J,Ronnitta,3.0,Does not work,2023-12-28,I gave these to my puppy and it did nothing for thier urges to chew on stuff due to theething waste of money but a good snack,positive,Negative,Value for Money
2339,2339,B09R6CH93J,NanaSuki,3.0,Teething sticks are very thin,2023-08-02,"I bought these for my teething five lb puppy. She had difficulty holding the very thin chew stick. I held it for her as she chewed. But I threw it away after it was about two thirds eaten down. This is a choking hazard for a puppy.If you buy them supervise your puppy closely. I would never recommend these for puppy that is larger than 7 pounds. They may try to swallow it whole, and it will get lodged in their throat.",negative,Negative,Safety Concerns
2357,2357,B09R6CH93J,Nora,4.0,For Tiny Puppies,2023-03-31,This is not for large breed puppies. My 4 month old golden could swallow it whole if I'd let him.,positive,Negative,Safety Concerns
2363,2363,B09R6CH93J,Carol B,3.0,Dog teething sticks,2023-08-14,I would not recommend these products for a puppy that is a heavy chewer.  Our dog chewed/ate these too quickly and it really upset his stomach for a number of days.,positive,Negative,Health Issues
2394,2394,B017YAHVA0,WP,2.0,Not for us,2022-10-06,"The treats are not chews, they are crumbly, which my senior dogs was okay with. Started out with 4 treats per day, crumbling it over his food. The stool was a little softer than I would like so I reduced it to 2 per day. Then my dog started vomiting after meals. I stopped the treats, gave the same food and he stopped vomiting. Sadly, these treats were not for us.",negative,Negative,Health Issues
2405,2405,B017YAHVA0,Carolyn Stone,1.0,She doesn’t like them,2023-01-23,She doesn’t like them and won’t eat them,neutral,Negative,Palatability
2422,2422,B093RQ7S3T,TonyandTricia,5.0,Great for chewing,2023-01-09,"I only went down a star because my shi-chi had chewed part of the circle but maybe that's because she likes it better or it's a bit softer than her others.  Either way, she hasn't had more than one since we got them.",positive,Negative,Product Quality Issue
2428,2428,B093RQ7S3T,Frank Marx,4.0,Pup didn’t like,2023-03-19,It may have just been my dog bit. My puppy did not like this at all!,neutral,Negative,Palatability
2432,2432,B093RQ7S3T,An Authentic GQ & her Mom,3.0,Not for teething puppies at all! Beware of safety!,2022-05-12,Not for teething puppies at all! Beware of safety!,neutral,Negative,Safety Concerns
2435,2435,B093RQ7S3T,Lori Granich,1.0,Arrived Damaged,2023-04-27,"We typically love this product, but this package arrived opened, with damaged product, and they won’t refund.",positive,Negative,Purchase and Return Policy
2438,2438,B093RQ7S3T,Jessica,1.0,Didn’t last long,2021-08-29,Was looking for something for my pup to chew on while teething these didn’t last long until they broke and I had to throw away looked like plastic!,negative,Negative,Product Quality Issue
2453,2453,B018BWLEPS,Sandi,1.0,My animals hate these,2023-09-16,My animals turned their noses up at these,neutral,Negative,Palatability
2457,2457,B018BWLEPS,Ha N.,2.0,"Slow ship, smell bad, mold",2022-08-21,Take forever to ship.  3 out of 5 mold.  Smell horrible!,negative,Negative,Product Quality Issue
2460,2460,B018BWLEPS,DjaksMom,3.0,"Dog Loves, But Gets Sick With Too Many",2023-12-23,"My picky senior loves these and they are certainly nice & soft. They are also pretty small, so great size for small, older dog with missing teeth. She has gotten sick twice now after eating, though. The first time was the first day we got them, (as a gift from a friend), & I did probably let her have a few too many not thinking much about it since they're very small treats. All has been well sense because I will maybe let her have 2 per day. Recently, I allowed her 4 in a day & she vomited a little that night. May or may not be coincidence, but just be aware.",positive,Negative,Health Issues
2461,2461,B018BWLEPS,Carolyn Stone,1.0,My dog won’t eat them,2023-01-23,She just won’t eat them,neutral,Negative,Palatability
2462,2462,B018BWLEPS,Izzy Ann,2.0,My 4 dogs refused to eat them.,2020-03-14,None of my dogs will eat them.,neutral,Negative,Palatability
2472,2472,B0BS4NBW92,P. Owens,5.0,Babies like it,2023-12-29,I'm not happy with the changes this company made. It's hard to change things on ferretsBut they are eating them slowly,negative,Negative,Health Issues
2476,2476,B0BS4NBW92,Mark Bretl,1.0,Recipe changed,2024-01-29,My ferrets were addicted to these things for years now they will not even touch them.,negative,Negative,Palatability
2486,2486,B01JONKI9Q,Rachel,3.0,Not good,2023-08-10,My puppies got diarrhea from eating these,neutral,Negative,Health Issues
2488,2488,B01JONKI9Q,Amazon Customer,1.0,New thickness not such a good deal,2024-01-21,"The manufacturer has thickened the thickness of the sticks and maybe either the new size or sticks that were not fresh were impossible to break, cut, or saw so that my small- medium sized dogs could chew through them. I’d like to order more if they could send me the fresher and smaller sticks. Impenetrable!",negative,Negative,Product Quality Issue
